,,Portfolio,,,,,,,,,,,,,,,,,,,Portfolio,,,,,,,,,,,,,,,,,,,
EMEA EAST,Gambia,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Partial,No,,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,currently not available,No,No,Partial,No
EMEA EAST,Georgia,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Partial,No,,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,currently not available,No,No,Partial,No
DACH,Germany,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Partial,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,currently not available,Yes,Yes,Partial,No
EMEA EAST,Ghana,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Partial,No,,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,currently not available,No,No,Partial,No
EMEA WEST,Great Britain,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Partial,No,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,currently not available,Yes,Yes,Partial,IDMS assestment
EMEA EAST,Greece,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Partial,No,,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,currently not available,Yes,No,Partial,No
LATAM,Guatemala,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,Partial,Yes,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,currently not available,No,No,Partial,No
LATAM,Honduras,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Partial,Yes,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,currently not available,No,No,Partial,No
China & HK,Hong Kong Special Administrative Region of China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMEA EAST,Hungary,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Partial,No,,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,currently not available,Yes,Yes,Partial,No
EMEA WEST,Iceland,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Partial,CorAL assessment,,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,currently not available,No,No,Partial,6008 Assessment
APAC,India,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Partial,"Introduce Part A, evaluate coral",,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,currently not available,Yes,Yes,Partial,No
APAC,Indonesia,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,3P,3P,Yes,Yes,Partial,"Evaluate coral, Aqua B plus registered but not being launched",,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,currently not available,Yes,Yes,Partial,No
EMEA EAST,Iraq,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Partial,TPI - NoTO,,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,currently not available,Yes,No,Partial,No
EMEA WEST,Ireland,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Partial,No,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,currently not available,Yes,Yes,Partial,IDMS assestment
EMEA EAST,Islamic Republic of Iran,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Partial,TPI - NoTO,,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,currently not available,Yes,No,Partial,No
EMEA EAST,Israel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Partial,No,,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,currently not available,Yes,Yes,Partial,No
EMEA EAST,Italy,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Partial,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,currently not available,Yes,Yes,Partial,No
APAC,Japan,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Partial,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,currently not available,No,No,Partial,No
EMEA EAST,Jordan,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,Partial,TPI - NoTO,,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,currently not available,Yes,No,Partial,No
